,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
3584,rVfe1LHo55A2fworkm_jVw,Capofitto,233 Chestnut St,Philadelphia,PA,19106,39.9485775068,-75.1450225711,4.5,205,0,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForKids': 'True', 'Smoking': ""u'no'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'HappyHour': 'True', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'HasTV': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'Music': ""{'dj': False}"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False'}","Bars, Gelato, Breakfast & Brunch, Italian, Food, Nightlife, Restaurants, Pizza","{'Monday': '0:0-0:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-21:0'}"
3653,UaovDcnP0QzsmGf6vXvg9w,Rocchino's,239 Chestnut St,Philadelphia,PA,19106,39.948818,-75.1456539,3.0,20,0,"{'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HappyHour': 'True', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True'}","American (New), Italian, Restaurants","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0'}"
3806,REns5fQe45Nk_D2UwQyr0w,Barra Restaurant,239 Chestnut St,Philadelphia,PA,19106,39.948818,-75.1456539,2.5,117,0,"{'Caters': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'HasTV': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, Bars, Pizza, Nightlife, Italian","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
3808,1NCUTTp6rIyXpwUDVv9qOA,Lazos Pizza & Grill,2533 Poplar St,Philadelphia,PA,19130,39.9727751034,-75.1789870874,4.0,176,1,"{'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': None, u'dessert': False}""}","Pizza, American (Traditional), Restaurants, Italian","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '12:0-22:0'}"
4103,BWITd9JUXP3gSi1z3Y-z8g,In Riva,4116 Ridge Ave,Philadelphia,PA,19129,40.0078746,-75.1924072,4.0,729,0,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsDelivery': 'True', 'BestNights': ""{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': False, u'sunday': False}"", 'HappyHour': 'True', 'DogsAllowed': 'True', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsGoodForGroups': 'True'}","Italian, Food, Nightlife, Pizza, Bars, Cocktail Bars, Beer, Wine & Spirits, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}"
4817,Bih0eT_lbbCUwKmGYpX0hw,Ricci's Hoagies,1165 S 11th St,Philadelphia,PA,19147,39.9353601,-75.1615836,4.0,67,1,"{'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'none'"", 'Corkage': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'BYOBCorkage': ""'yes_free'"", 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'HasTV': 'True', 'WheelchairAccessible': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True'}","Restaurants, Italian, Sandwiches","{'Monday': '8:0-15:0', 'Tuesday': '8:0-15:0', 'Wednesday': '8:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '8:0-15:0', 'Saturday': '9:0-15:30'}"
4827,qot32tHVWZpiJibLTwQGyw,Pina's Pizza,8919 Ridge Ave,Philadelphia,PA,19128,40.0694581,-75.2398454,3.5,47,1,"{'RestaurantsDelivery': 'True', 'NoiseLevel': ""u'average'"", 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'Alcohol': ""u'none'"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': None, 'classy': False, 'casual': None}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Restaurants, Italian, Pizza, Seafood","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:0'}"
5016,E-DcL1u330qwvoxXhipmUQ,George's Sandwich Shop,900 S 9th St,Philadelphia,PA,19147,39.9388315986,-75.1579846257,4.0,93,1,"{'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'Alcohol': ""u'none'"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'False', 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}""}","Italian, Cheesesteaks, Restaurants, Sandwiches","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
5607,XBdaG2kQ2Iz9VNGPZokjYg,Maria's Ristorante on Summit,8100 Ridge Ave,Philadelphia,PA,19128,40.0567171,-75.2363521,3.5,98,1,"{'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'Caters': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}""}","Italian, Pizza, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '12:0-21:0'}"
5735,7x76ngzub3j4PijMHm71nQ,Fratelly Pizza & Restaurant,2383 Cottman Ave,Philadelphia,PA,19149,40.0478786128,-75.0593309498,2.0,20,0,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""'none'"", 'HasTV': 'True', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Pizza, Italian, Sandwiches, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}"
5874,F1hbIYD1lNzbprtckd7bVg,Venuto's Old World Pizza,6024 Ridge Ave,Philadelphia,PA,19128,40.0322069,-75.2142546,3.0,5,0,"{'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1'}","Pizza, Restaurants, Italian",
6471,WkNJ3FnK5WVW3thVUe-WSw,Izzy's 33,1703 S 9th St,Philadelphia,PA,19148,39.9280043249,-75.160044618,4.5,24,1,"{'HasTV': 'False', 'Corkage': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'False', 'OutdoorSeating': 'True', 'Caters': 'True', 'BYOB': 'True', 'Alcohol': ""u'none'"", 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'RestaurantsTableService': 'True'}","Mexican, Restaurants, Cafes, Breakfast & Brunch, Italian","{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-21:0'}"
6696,Pab9VzWLe20vrdGn0rxNfQ,Ava Restaurant,518 S Third St,Philadelphia,PA,19147,39.9420412,-75.147714,3.5,9,0,"{'BYOBCorkage': ""'yes_free'"", 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'Corkage': 'False'}","Restaurants, American (New), Italian",
