,business_id,date,stars,text,cut_off_date,not_recommended_review_count_pre,treatment,text_length,sentiment_score
369,uKAbrDSJJzZliY1Yqu5KxQ,2014-01-01 23:14:37,4,"was so happy that i was referred here by a family member! this place is the true definition of south philly. this place is owned and run by 3 generations of the family who are always there. we showed up with 2 large bottles of wine, ready to enjoy a nice long meal.   to start, we got the stuffed artichoke after reading the previous reviews - was just as everyone described, delicious and savory.   i had the filet which was cooked perfectly, but skimped a little on the sides (asparagus and potatoes). i say your best bet is to go with a homemade pasta dish for the full experience!",1,15.0,1,584,0.446
467,BWITd9JUXP3gSi1z3Y-z8g,2013-10-08 02:42:56,4,"i went back to in riva this past week. i had group of friends visiting from out of state for terrier show in philly and we needed to find a place to dine with our terriers! i had no clue in riva had a doggy park with tables that are fully serviced by their waitstaff. it was great!! perfect enclosed area right next to restaurant. service was excellent, she was super patient with us and our rambunctuous dogs. we ordered a selection of pizzas that were delicious.  highly recommend in riva to people who want to dine and have fun with their dogs!",0,9.0,1,547,0.4401
523,wUnLSg_GKfEIQ5CQQ770_g,2014-01-04 18:35:16,5,"the tasting menu at vetri was an experience i will never forget. every plate that was put in front of me was executed perfectly and was delicious. the fresh tortellini with a generous shaving of white truffles was borderline sexual. spinach gnocchi with brown butter, russian salad, smoked canada goose stuffed endive, sweet onion crepe w/ truffle fondue, boar ragu, apple fed lamb, and pistachio flan were all memorably awesome.  overall, it was a four and a half hour dining experience that was worth every penny.   be sure to get a reservation, go hungry, and buckle up for the meal of your life.",1,24.0,1,599,0.3986
566,DRr5xdfHtqgWfhmdTU1B8Q,2013-12-10 04:12:38,4,came here because it was the only place serving good on a late saturday night. to my surprise there was a live jazz duo playing in a back room. the wait staff were pleasant and informative about the london grill with out being too annoying. the bar was crowded but service was speedy and polite. london grill is definitely a spot in fairmont to go to eat and hang out late night.,1,22.0,1,379,0.0189
594,DRr5xdfHtqgWfhmdTU1B8Q,2013-11-15 21:03:46,2,"i used to really love this place as a neighborhood staple, but after a string of recent bad experiences it seems that the service is really not what it used to be.   two bad experiences in particular stick out. first, a weekend brunch where my table was forgotten entirely for almost half an hour. we were just about to leave without ordering when i overheard two waiters asking each other which one of them was responsible for our table. one came over in a panic and asked if we'd been served yet. when we complained about the wait, the server was very apologetic and offered us a round of free drinks. this helped, but i was still kind of annoyed because they weren't particularly busy at the time (several empty tables around us).   then a dinner a month or two later,  when we made a reservation and still had to wait about 20 minutes. we actually ended up waiting even longer than that because they wanted to seat us directly next to the bar area, where there was a big crowd making a lot of noise thanks to some bar crawl going on, so we asked to wait for a better seat. but that wasn't really their fault- i just wish the bar was better separated from the restaurant. during our meal, the waitress knocked over my water glass and sloshed my soup onto the table. she cleaned it up, but did not offer to bring a new bowl. i was also given the wrong drink order and my dining companion was served the wrong entree. our server aplogized for all these mistakes, but she seemed generally distracted throughout the entire meal.   everybody has ""off"" days, but it seems like london grill has an off day every time i go.",1,22.0,1,1618,0.0064
617,BWITd9JUXP3gSi1z3Y-z8g,2013-09-06 12:41:49,3,"this place has quickly become our regular spot. the ricotta cheese, rosemary potatoes, and beets salad are just delightful!!  aside from being a little too salty... everything is good. the ambiance, the service, the charm.... :)",0,9.0,1,228,0.391
663,BWITd9JUXP3gSi1z3Y-z8g,2014-01-18 20:38:40,5,very good. the great place to get some bottled talian beers you haven't seen before. the pizza was awesome as well. and dawn the bartender really knew her stuff and very friendly as well.,1,9.0,1,187,0.6795
718,BWITd9JUXP3gSi1z3Y-z8g,2013-09-04 20:25:07,2,"i typically only write yelp reviews when the experience is something to warned about, so consider this a warning.  my boyfriend, his brother and i tried out in riva last night. as a precursor, the restaurant was not terribly busy, so the issues we had were not a result of an overtaxed staff or kitchen.  if our first mistake was choosing in riva to have dinner, our second mistake was deciding to sit at the bar.  we sat down at the bar and waited, and waited, and waited until the bartender finally acknowledged out presence with a half-hearted apology about making us wait.  all three of us ordered both appetizers and entrees.  while it was obvious that were were all dining together, the kitchen decided that we should all get our food at different times.  my boyfriend ordered the pea soup, which came out first.  about five minutes later his brother's octopus arrived, and yet another five minutes later my meatballs finally arrived.  my boyfriend and his brother were both finished with their appetizers before mine arrived at the bar.  this ritual of staggering dishes and service was repeated when our entrees came out - again my boyfriend's ravioli arrived first, his brother's rigatoni followed several minutes later and my pizza arrived last and when the pasta's were nearly completely consumed.  this kind of service is unacceptable as it makes the dining experience awkward for all the members of the party.  however, no one at in riva found this to be at all problematic, and it seemed to par for the course.    the food in and of itself was good, however, it was nothing extraordinary and was way overpriced.  while the prices themselves were not terrible, the portions for the appetizers and the entrees were small ($10 for three meatballs and $12 for three vegetable ravioli?!?!)  lastly, the service from the bartender was the worst service i have had in a  long time.  not only were we sitting at the bar for a while before she greeted us or took even a drink order, she also specialized in disappearing from the bar for long stretches of time or alternately forgot that she was working and spent her time socializing with a friend of hers rather than taking care of customers.  her disappearing act occurred at all times when our food arrived, which relieved her of her burden of making sure our food arrived and whether we needed anything.  further, after we finished, we again waited, and waited, and waited for the check.  the bartender was completely out of the restaurant chatting with the same friend that took all her attention while she was at the bar.  even after she came back from her adventure with her friend, we had to ask for the check at least twice before it was provided.  it was clear that the last thing that the bartender wanted to do was her job.    bottom line, there are many pizza/pasta restaurants in this city that will be getting my business from here on out, and i recommend that others do the same.",0,9.0,1,2950,0.0363
732,3lBooCffgkW7tVSG5kILBA,2014-01-20 15:38:56,5,"excellent food, friendly staff, warm atmosphere in cozy room.  wish we had places like this in dc.  and byob in addition?  perfect.",1,12.0,1,131,0.555
796,wUnLSg_GKfEIQ5CQQ770_g,2014-01-20 12:34:11,5,"easily the best meal i have ever had.  each course was phenomenal in its own unique way, flowing perfectly from dish to dish.  the meal slowly builds to a rich, decadent pasta course.  the spinach gnocchi is a pasta dish i will never forget.  just when my wife and i felt our palates were overwhelmed, the next understated pasta dish was the perfect answer.  chestnut fettucine with wild boar ragu was perfection.  the meat course was brilliant, a pairing of goat with polenta and braised lamb with mint.  the two institutions of this menu are the sweet onion crepe and pistachio flan which are both legendary.  this is clearly a restaurant that is brilliantly run down to the microscopic details.  every employee clearly plays an equal part in making sure that every customer has a flawless experience.  i would recommend this restaurant for a special occasion over any other in philly.",1,24.0,1,887,0.4352
804,j99PtxlKTW_u5alE4jiqHQ,2014-01-05 14:08:01,2,"not the best italian in town. you are better off going to villa di roma down the street. the do however give you good portions, but the food is mediocre. i ordered the calamari and in came in a water down red sauce with not much flavor. calamari was cooked well. my main dish was the chicken parmigiana, it really id not have much flavor. salt and pepper go a long way.   service was terrible. i think they try to portray a rough south philly vibe, but it's just a turn off. we were a 4 top and all of our food came out at different times. very annoying when you are trying to eat together.  i would not recommend this place to anyone thinking they want to go to a great italian restaurant.",1,16.0,1,690,0.005
831,wUnLSg_GKfEIQ5CQQ770_g,2013-11-18 16:11:04,4,"vetri is a very special place. i wanted to love it. there were four of us dining and we certainly enjoyed it. most of what we tasted was exceptional especially the pastas. the goat was unique but not easy to eat. the lamb was extremely gamey and none of us finished it. the service was exceptional and they attended to our every need.  one of the shortcomings of the small and cramped space is if you have a very noisy table next to you, which we unfortunately did it makes for a less pleasurable experience. i would relish the opportunity to try the restaurant again and possibly guide the staff to alter our tastings. people seem to complain about the price but i don't think it is outrageous for what you receive. if you don't mind spending the money i think it is certainly worth a try!",1,24.0,1,790,0.1105
841,wUnLSg_GKfEIQ5CQQ770_g,2013-10-11 14:30:54,5,"best meal of my life.  the only complaint - which isn't even a complaint, is i was definately drunk by the end of the meal.  each course, we had two different plates to taste and with each plate we had a glass of wine...adding up to over 7 glasses of wine.  i would go back in a heart beat.",0,24.0,1,290,-0.0143
893,BWITd9JUXP3gSi1z3Y-z8g,2014-01-05 02:40:58,5,"i absolutely love this place. my husband and i went on a rainy sunday so it was pretty empty, we sat at the bar and the bartender was  friendly and attentive without hovering constantly, given that we were her only customers.  i got the pea soup which was presented to me by pouring the liquid portion over the dry making for a  beautiful display.  it was also insanely delicious.  my  husband got the meatballs which were so moist and perfectly seasoned.  we then shared the spicy ham pizza which was served on a empty number 10 can fitting the quaint, shabby chic decor.  the crust was amazing, coal fired for crispy outside while still being chewy, just the way we like it.  the cheese and ham made for perfect toppings, the jalapeños were a bit much for me but my husband loved them.  i can't believe we waited so long to try this place, it will definitely be a regular of our now.",1,9.0,1,885,0.3154
950,E1gf1YIWOo1BgzMUwJtEZg,2013-10-26 20:41:13,4,"while walking around center city philadelphia, i saw this place and made a mental note to try it before i left.  i'm glad i stopped in.  while we weren't greeted at the door(it's not that type of establishment...it's self seating), we were given menus quick enough.  our order was taken in a fair amount of time.  we had the large sausage pizza and enjoyed it.  the sausage was sliced which i don't normally like, but it was tasty.  we got the large for $14 so it was pretty inexpensive.  i would return.",0,10.0,1,504,0.2218
1065,3lBooCffgkW7tVSG5kILBA,2013-10-27 22:14:06,4,"we showed up without a reservation, and the maitre d' had no problem seating us.  he was cheerful and attentive.  seems like most of the patrons are regulars!  food was delicious, and plus we got free desserts for checking-in on yelp!  the pastry dessert was divine.  i would skip the tiramisu.  entree wise, i had the squid ink pasta ~ tasty, but not the best i ever had.  my hubby had the ravioli, and that was delicious.  if you want a no fuss good dinner, then give this place a try!",0,12.0,1,487,0.7222
1087,JbKTtN9goxrWEvuGmE4FOQ,2013-11-18 21:15:46,2,"delivery - not bad. pizza arrived hot and tasted pretty decent.   eat in - you'll ask yourself at least 5 times ""what is that smell?!""  also, they have sticky carpet. how the hell does that happen?",1,0.0,0,197,0.1283
1129,j99PtxlKTW_u5alE4jiqHQ,2013-10-09 18:45:50,5,"my friend, who loves ralph's so much introduced me to the place. he hosted his birthday here and invited 10 of his closest friends on a weekend night. and it was a festive place with great food and a celebratory atmosphere. i understand why he loves ralph's with its ample, authentic italian food, warm service, and gut busting servings. come hungry.",0,16.0,1,350,0.42
1159,u-8sFq05DQ6PYCR5HiKZ2w,2013-12-11 07:22:15,1,it's a place that microwave ovens your food for you. food is meh at best and way overpriced for what it is.  two words: steer clear.,1,18.0,1,132,0.55
1185,wUnLSg_GKfEIQ5CQQ770_g,2013-10-31 02:22:12,3,"now that i've eaten there, here's a review of my experience at the restaurant.  although i'm updating the review instead of re-writing it, because i believe in first impressions, i'm not going to hold it against the food/ service!  we arrived on time but had to wait for our seats for about fifteen minutes.  i kind of like seeing that because it means that diners are enjoying their time at the restaurant and want to hang out for a bit.  the hostess offered prosecco to those of us waiting, which was a nice gesture.  the tasting menu was definitely much more than the expected five courses.  we weren't exactly counting (until we looked back upon the meal) and were just focused on the food, but we stepped out very full!  for the amount of food and the quality of ingredients, the meal was very much worth the money.  there was also a candle for us at the end of the dinner for our anniversary.  but although the experience was lovely, nothing really stood out, except for this one pasta...but even now i cannot recall what it was (just that it tasted delicious).  the food was simple and straightforward as i'd hoped, but it was so uncreative.  what i mean by this is that 1/3 of all the dishes had brown butter as its sauce.  so it wasn't really sauce but just pasta dredged in brown butter.  also i'm very fond of the milk solids, but it was mostly the clarified butter that was in the plate :(.  i'm still excited to try other marc vetri restaurants, but i'm not sure about going back to vetri.",0,24.0,1,1502,0.2268
1201,j99PtxlKTW_u5alE4jiqHQ,2013-10-14 02:40:05,4,"the ""cash only"" on the yelp page and customer comment that its cash only are wrong. i was there an hour ago and used my mastercard. our waiter was al and he was very attentive and friendly. great job. i made a reservation on open table and they had it when i got there. i had the roasted peppers and mozzarella salad and it was great. entree was chicken parm. instead of smothering it in bread and cheese like most restaurants, it had a thin layer of breading and a thin layer of cheese. they let the veal stand on its own and enhance it instead of overwhelming it. very, very nice. my kid had meatballs and loved them. tender (with a lot of veal i believe). tiny place, unsurpassable hstory, good food, good service. go.",0,16.0,1,721,0.2671
1238,BWITd9JUXP3gSi1z3Y-z8g,2013-10-29 15:17:59,4,"i've been to in riva a few times now, mostly because i can't get enough of their artichokes in lemon yogurt and tapenade appetizer. beyond that, i've also tried a few of their pasta dishes -- all full of flavour and well presented, even if the small portion sizes are not comparable to the steep price tags. pizza is also very good here, though i wish they would bring back the sausage and caramelized onion pizza that i had on my first visit, since that was by far the best i've had there.  the location of in riva is in a bit of a strange place (between ridge and kelly dr). having said that, they've got an outstanding deck with a view of the river, and it's a wonderful way to spend a relaxing dinner with a beer and some good food. it's also not too hard to get a table during dinner rush, which is nice if you are looking to drop in at the last minute.",0,9.0,1,858,0.2732
1308,BWITd9JUXP3gSi1z3Y-z8g,2013-11-21 16:06:57,5,i went back to in riva in early november and was so so glad i gave them another shot. we sat at the pizza bar in the back and were greeted with kind and thoughtful service the entire night. i went to italy over the summer and i can honestly say this is the best pizza i have had since. it's fantastic! we shared the margherita and the cippolini- both amazing. i actually left a comment on the suggestion card saying that i was glad that i gave them another shot and the owner's sister came over to talk to me while we were sitting at the bar after eating. she was so nice and appreciative of my comments. i highly recommend this restaurant. would love to host a party here!,1,9.0,1,673,0.3991
1315,E1gf1YIWOo1BgzMUwJtEZg,2013-09-20 17:02:14,4,i order lunch here all the time! the bruschetta is delicious - perfectly seasoned. their pizza is great. the salads are always fresh and they give you a big enough portion of it. orders are usually ready to be picked up within 10 minutes of ordering online.,0,10.0,1,257,0.3643
1441,RZtGWDLCAtuipwaZ-UfjmQ,2013-09-10 23:07:40,2,i've had much better. the pasta dish i had was dry and overdone. open a can of chef-boy-r-dee and you will have something better.,0,9.0,1,129,0.2333
1463,3lBooCffgkW7tVSG5kILBA,2013-09-15 12:54:58,2,"we decided to go to porcini  because we had friends visiting from out of town who were running in a half marathon and they asked to go to an italian restaurant.  after looking at the reviews for porcini, we decided to give it a try.    the place is very small but we were seated promptly.  overall, the food was ok but definitely not worth the price.  we got the brussel sprouts which literally were two brussel sprouts cut into quarters and tossed with pancetta.  they were tasty but definitely not worth $8.  the capresse was good but again the portion was very small.  two of us got their bolognese which was similar to what i can make at home.  my friend got the gnocchi which was apparently very good.   i got their seafood special and was sick for much of the night afterward.   the service was for much of the night was ok, not great and the waiter was unfriendly.  i felt like we were in their way and that they were waiting for us to eat and leave.  we did not feel welcomed at all.    i would not recommend this restaurant.",0,12.0,1,1033,0.0668
1520,DRr5xdfHtqgWfhmdTU1B8Q,2013-11-20 20:23:38,2,"went there on the fourth of july, and the waitress made us feel like we were nothing but an annoyance (we were not even drinking, and were courteous). it's not my fault you have to work on the fourth of july. she unenthusiastically brought us our mac and cheese, which i believe came from a box. food is mediocre.",1,22.0,1,313,0.025
1569,wUnLSg_GKfEIQ5CQQ770_g,2013-09-11 20:01:02,4,"so it was delicious. heavy and sometimes imbalanced on some of the plates, but really really a great meal.   they greet you with a glass of prosecco (great start), and we chose a bottle for the whole meal vs. going for the tasting.   i went for my boyfriend's birthday dinner, and i know that he fully enjoyed the meal! some of the dishes in the middle were a bit heavy for me, but that's just a stylistic/taste preference. for every course, we both were given two different plates, which i thought was awesome. in addition, they also give a third plate to share per course, so it was actually like a 12 course meal vs. 7.   best part: dessert. besides the petit-fours that are given, i had this pistachio 'flan' cake. this changed my life for the better. it was like a pistacio macaron (the french kind, not 'macaroon') lava cake with pistachio cream inside.   the service was impeccable, and it was truly a great birthday dinner. i might need a little more time to wait before i go back there again, due to the heaviness of the dishes, but it was still a great meal and experience.   note: if you make a reservation, the hostesses will literally call you 3 times leading up to your reservation.",0,24.0,1,1196,0.3766
1577,OHplb2m_dKPXY46mS0CqJQ,2013-10-09 17:03:11,5,"i love this place.  i have been there 4 times, and always looking for my next chance to go.  food is always fresh, menu is always changing, pasta are always homemade.  byob helps keep the cost down.  portions aren't huge, but i never leave hungry, nor do i crave dessert after as i do after leaving some place.  everything, i have had is amazing.  food combinations aren't crazy, like the new trend in foodies today, but unique, yet traditional,  and perfectly executed.   place is very small so i would call for reservations.  i tell everyone i know who is looking for a great place to eat without the over priced location and name. highly highly recommend!!",0,9.0,1,659,0.2343
1595,BWITd9JUXP3gSi1z3Y-z8g,2013-10-16 00:04:11,5,i can't say enough good things about in riva! on our trip to philly this summer we were looking for dog friendly places and hit the jackpot with in riva. the food is great - we especially loved trying the 3 pastas for $35. the best part was that our dog was able to be off leash running around while we ate at our own private picnic table. the waiters were so helpful and we especially loved that they gave our pup some love!,0,9.0,1,425,0.6159
1632,RZtGWDLCAtuipwaZ-UfjmQ,2013-12-13 18:13:55,4,"despite being a mob scene at lunch the service was very efficient. i ate a slice of pepper and sausage and it was excellent: the crust was perfectly crisp, the cheese and sauce were flavorful and i could tell the sausage and peppers were fresh. while 3.75 for a slice was high, the pizza is delicious and it ain't cheap being in the  comcast center.",1,9.0,1,349,0.4012
1669,uKAbrDSJJzZliY1Yqu5KxQ,2014-01-26 22:22:00,2,"i have only been here once because i thought everything was below average. me and my boyfriend ate here on a friday at the bar. i really don't like the paper place mats they put down in front of you, but that an aesthetic thing. i ordered the fettuccine in a marinara with a meatball because i was feeling pretty traditional that night and my boyfriend got red mussels over pasta. i was so disappointed. the gravy had so much oil in it, i actually couldn't finish it and the meatball was very hard. my boyfriend had the exact same experience with his gravy as well.   i have heard from people whose tastes i trust that my experience is outside of the norm, but unfortunately i can only base my review on my dining experience and i have to say i was just generally underwhelmed.",1,15.0,1,777,-0.0992
1670,BWITd9JUXP3gSi1z3Y-z8g,2013-11-08 17:19:24,5,friends and i have dined here twice--a late lunch during the manayunk bike race and lunch on a friday. both times everyone has walked away impressed.    incredibly well done establishment: a casual environment that is attentive to every detail. pizza is amazing. bread and spreads are amazing. drinks are amazing. service is great!! looking forward to dinning here on a more regular basis.,0,9.0,1,389,0.4364
1671,wUnLSg_GKfEIQ5CQQ770_g,2014-01-21 23:00:18,2,"i don't get what the big fuss about this place is. they may just have a great pr team. first attempt at vetri was just so so. i wrote that visit off as just not finding anything that struck my fancy. seeing that they seem to have a seasonal menu thought i would wait out the season.  second try landed flat with same experience as well as subpar service. have traveled italy extensively and always search out different regional dishes to try something new. didn't find that here either time. at the expense of this restaurant, not willing to give it another try.",1,24.0,1,562,0.1036
1691,BWITd9JUXP3gSi1z3Y-z8g,2013-09-25 14:07:12,5,"i am such a huge fan of this place. having recently had a baby, i love that this place can straddle the divide between grown-up date restaurant and family-friendly lunch spot. we've visited for both sorts of occasions: dinner with friends on a saturday night (sans baby), and lunch with the family on a weekend afternoon. every time, the food has been a+, and the ambiance was perfect -- special/fun/high energy in the evening, and low-key/family friendly in the day time. i love the variety of small plates, and the pastas and pizzas are excellent. on a semi-recent visit, we had the pea agnolotti, which was to die for. highly recommended!",0,9.0,1,641,0.3725
1692,RZtGWDLCAtuipwaZ-UfjmQ,2013-09-20 03:59:57,4,"party of 6 seated right away. the lasagna was excellent. served piping hot, a large portion, and the marinara sauce was very good. the chocolate cake was also good.",0,9.0,1,164,0.56
1743,DRr5xdfHtqgWfhmdTU1B8Q,2013-11-24 00:07:37,3,"went here to get the pumpkin hot toddy (with pureed pumpkin and applejack rye), with high expectations.  maybe these high expectations are to blame for my ""meh"" review.    after ordering, the first toddy out was made incorrectly (with pumpkin syrup, not puree) and the final correct one was pretty bland.  i expected more spice and more pumpkin flavor.  the drink wasn't even orange in color.  for $10, i was bummed.  otherwise, it was a nice cozy pub to sip hot drinks on a cool night.  borderline-upscale vibes and creative cocktails and dishes make it worth a try.",1,22.0,1,567,0.2252
1744,wUnLSg_GKfEIQ5CQQ770_g,2013-12-11 21:14:05,5,"what a meal! possibly the best italian meal i have ever had ,.. and i have had many inside and outside italy.  just superb and i remember feeling really quite sad when it was time to leave (even though the restaurant had arranged a courtesy car to take us home i was a reluctant last customer through the door). they were so many standouts on the menu but the one i will always remember was the polenta with poached egg.  so simple but such an exquisite set of tastes and textures. oh my god... and oh anyone else's god for that matter.  go.",1,24.0,1,541,0.2846
1769,j99PtxlKTW_u5alE4jiqHQ,2014-01-05 02:09:26,5,authentic italian at a decent price. average $13-18 per plate. italian-american staff. their specialty menu is really good.,1,16.0,1,123,0.2433
